RID,SID,NAME,SCIENTNAME,FAOSTAT,FAO_Code,FAO_Code2,FAO_Code3,crop,food,fiber,fodder,forestry,industry,plant,comms
383,383,Parsnip,Pastinaca sativa L.,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
384,220,Rutabaga,Brassica napus L. Napobras.,TRUE,463,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
385,385,Common buckwheat,Fagopyrum esculentum Moench,TRUE,89,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
388,388,Winter squash,Cucurbita mixta Pang.,TRUE,394,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
390,390,Coriander,Coriandrum sativum L.,TRUE,711,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
392,392,Common fig,Ficus carica L.,TRUE,569,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
394,394,Kaki,Diospyros kaki L.f.,TRUE,587,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
403,403,Cherimoya,Annona cherimolia Miller,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
404,404,Bullock's heart,Annona reticulata L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
406,406,Loquat,Eriobotrya japonica Lindley,TRUE,619,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
408,408,Mammey apple,Mammea americana L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
409,409,Carambola,Averrhoa carambola L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
419,419,Teff,Eragrostis tef (Zucc.) Trot,TRUE,108,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
436,436,Indian jujube,Ziziphus mauritianus Lamk.,TRUE,619,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Zizyphus
437,437,Nutmeg,Myristica fragrans Houtt.,TRUE,702,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
442,442,Sweet bay,Laurus nobilis L.,TRUE,723,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
450,450,Kapok,Ceiba pentandra (L.) Gaertn,TRUE,310,311,778,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,""
451,451,Brazil nut,Bertholletia excelsa H.& B.,TRUE,216,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
453,219,"Wheat, club",Triticum compactum Host,TRUE,15,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,subspecies of T. aestivum
454,454,Canihua,Chenopodium pallidicaule H.,TRUE,108,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
455,385,Fagopyrum emarginatum,Fagopyrum emarginatum,TRUE,89,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,syn of F. esculentum
457,457,Citron,Citrus medica L.,TRUE,512,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
459,459,Chufa,Cyperus esculentus L.,TRUE,149,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
463,382,Purple raspberry,Rubus occidentalis x idaeus,TRUE,547,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
477,477,Custard banana,Asiminia triloba (L.) Dunal,TRUE,619,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
480,480,Starapple,Chrysophyllum cainito L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
483,483,Red mombin,Spondias purpurea L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
502,502,American oil palm,Elaeis oleifera,TRUE,257,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
512,512,Plantain bananas,Musa balbisiana Colla,TRUE,489,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,most cultivated bananas and plantains are hybrids of acuminata and balbisiana (or acuminata)
513,513,Anise,Pimpinella anisum L.,TRUE,711,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,""
520,520,Hog plum,Spondias mombin L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
527,527,Muscadine grape,Vitis rotundifolia Michx.,TRUE,560,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,not specified in FAO database but probably included
528,528,Fox grape,Vitis labrusca L.,TRUE,560,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,not specified in FAO database but probably included
532,532,Caraway,Carum carvi L.,TRUE,711,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
535,535,Saffron,Crocus sativus L.,TRUE,723,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
538,538,Rice paddy (Japonica),Oryza sativa L. s. japonica,TRUE,27,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
539,538,Rice upland (Japonica),Oryza sativa L. s. japonica,TRUE,27,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
540,538,Bulu rice (Javanica),Oryza sativa s. javanica,TRUE,27,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
542,542,Sorghum (med. altitude),Sorghum bicolor (L.) Moench,TRUE,83,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
581,243,Banana,Musa acuminata x M. balbis.,TRUE,486,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,most cultivated bananas and plantains are hybrids of acuminata and balbisiana (or acuminata)
723,723,Macademia nut,Macadamia tetraphylla,TRUE,234,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
727,243,Banana,Musa halabanensis Meijer,TRUE,486,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,syn of Musa acuminata
757,757,Hong Kong wild kumquat,Fortunella hindsii (C.) Sw.,TRUE,512,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,syn of Fortunella japonica
758,758,Round kumquat,Fortunella japonica (T.) S.,TRUE,512,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
759,759,Oval kumquat,Fortunella margarita (L) S.,TRUE,512,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,syn of Fortunella japonica
760,760,Apple,Malus domestica Borkh.,TRUE,515,542,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FAO_Code 542 isn't specific.
761,761,"Apricot, Japanese",Prunus mume Siebold & Zucc.,TRUE,541,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
762,762,Java apple,Eugenia javanica Lamk.,TRUE,542,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FAO_Code 542 isn't specific.
766,538,"Rice, paddy (Indica)",Oryza sativa L. s. indica,TRUE,27,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
767,542,Sorghum (low altitude),Sorghum bicolor (L.) Moench,TRUE,83,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
768,768,Soyabean,Glycine max (L.) Merrill,TRUE,236,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
770,770,Tannia,Xanthosoma sagittifolium L.,TRUE,135,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
771,771,"Okra, lady fingers",Abelmoschus esculentus (L.),TRUE,430,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
774,774,Pineapple,Ananas comosus (L) Merr.,TRUE,574,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
775,775,Sunflower,Helianthus annuus L v macro,TRUE,267,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
778,778,Date palm,Phoenix dactylifera L.,TRUE,577,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
779,779,Carob,Ceratonia siliqua L.,TRUE,461,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
782,782,Avocado  (Mexican),Persea americana Mill.,TRUE,572,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
784,784,Guava,Psidium guajava L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
788,788,Purple passionfruit,Passiflora edulis v edulis,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
789,789,Jack bean,Canavalia ensiformis (L) DC,TRUE,211,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
791,791,Rice bean,Vigna umbellata (Thunb.),TRUE,176,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,syn of Phaseolus calcaratus
792,792,Sword bean,Canavalia gladiata (Jacq)DC,TRUE,211,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
793,793,Pistachio nut,Pistacia vera L.,TRUE,223,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
794,794,Arrowroot,Maranta arundinacea L.,TRUE,149,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
799,799,Job`s tears,Coix lacryma-jobi L.,TRUE,108,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
836,836,Shea butter tree,Butyrospermum paradoxum (G),TRUE,263,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
854,854,Lesser yam,Dioscorea esculenta (L.) B.,TRUE,137,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
855,855,Greater yam,Dioscorea alata L.,TRUE,137,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
884,884,Western elderberry,Sambucus cerulea Nutt.,TRUE,619,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
885,885,"Cola-nut, commercial",Cola nitida (Vert.) Schott,TRUE,224,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
886,886,Indianfig,Opunita ficus-indica (L.) M,TRUE,619,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,""
887,887,Quince,Cydonia oblonga Mill.,TRUE,523,542,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FAO_Code 542 isn't specific.
890,890,Jerusalem artichoke,Helianthus tuberosus L.,TRUE,149,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
891,891,Fig-leaved gourd,Cucurbita ficifolia Bouche,TRUE,394,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
894,894,Potato yam,Dioscorea bulbifera L.,TRUE,137,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
895,895,Bitter yam,Dioscorea dumetorum (K.) P.,TRUE,137,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
897,897,White yam,Dioscorea rotundata Poir.,TRUE,137,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
898,898,Chush-chush yam,Dioscorea trifida L.,TRUE,137,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
902,902,Peruvian carrot,Arracacia xanthorrhiza Ban.,TRUE,149,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
905,905,Pomegranate,Punica granatum L.,TRUE,619,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
906,906,Niger-seed (Indian),Guizotia abyssinica Cass.,TRUE,339,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
919,919,Sugar apple,Annona squamosa L.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
920,920,Ilama,Annona diversifolia Saff.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
921,921,Mountain soursop,Annona montana Macfad.,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
