filename,SPAM_Code,Monf_Name,FAO_Name,FAO_Code,source,SPAM_Name,GROUP,Total_ha,Total_p,nonFiltered_ha,nonFiltered_p,nf_prop_ha,nf_prop_p
triticale,"",triticale,Triticale,97,Monf,"",Cereals,2566629.57519597,216068,2076702.61949706,119221,0.809116609411196,0.551775367014088
tropicalnes,"",tropicalnes,"tropicalnes, tropical fresh nes Fruit",603,Monf,"",Fruit,1817365.79940565,362667,1466885.40271981,230690,0.807149228404943,0.636093165355547
tung,"",tung,Tung Nuts,275,Monf,"",Oilcrops,174982.094108404,382308,3366.67750884779,2491,0.0192401258311727,0.00651568892097471
vanilla,"",vanilla,Vanilla,692,Monf,"",OtherCrops,36348.1470366667,203576,9372.3862489704,25941,0.257850454921839,0.127426612174323
vegetablenes,"",vegetablenes,Vegetables fresh nes,463,Monf,"",Vegetables&Melons,14265386.5253156,890638,10921120.8864309,471890,0.765567821597413,0.529833669796259
vetch,"",vetch,Vetches,205,Monf,"",Pulses,962024.324896373,352963,673030.109792482,108424,0.699597808885944,0.307182339225358
walnut,"",walnut,"Walnuts, with shell",222,Monf,"",Treenuts,563095.042889272,385537,252997.442113775,136712,0.449297938791346,0.354601503876411
watermelon,"",watermelon,Watermelons,567,Monf,"",Vegetables&Melons,2882702.34852621,587822,2607263.16717463,380713,0.90445105042066,0.647667150940251
whea,whea,"",wheat,15,SPAM,wheat,cereals,199497738.832057,462033,199497738.832124,462033,1.00000000000034,1
yams,yams,"",yam,137,SPAM,yams,roots&tubers or starchy roots,5020052.19942233,102280,5020052.19942233,102280,1,1
yautia,"",yautia,Yautia (cocoyam),135,Monf,"",Roots&Tubers,36399.201028318,232447,22793.5156890051,3047,0.626209231111204,0.0131083644873885
